run,year,county,pollutant,sourcetype,regclass,fueltype,roadtype,emission,vmt
1,2023,36109,98,42,46,2,5,19.942352294921875,11307.2001953125
1,2023,36109,98,42,42,2,5,22.620969772338867,14677.099609375
1,2023,36109,98,41,47,2,5,1179.384765625,631340
1,2023,36109,98,41,46,2,5,62.04909896850586,35766.5
1,2023,36109,98,41,42,2,5,72.26763153076172,46970.19921875
1,2023,36109,98,32,41,2,5,566.54168701171875,811791
1,2023,36109,98,32,30,2,5,57.07304382324219,131418
1,2023,36109,98,31,41,2,5,2655.390625,4060260
1,2023,36109,98,31,30,2,5,817.94354248046875,2042430
1,2023,36109,98,21,20,2,5,340.2129211425781,940584
1,2023,36109,98,61,47,1,5,0.008333494886755943,4.126150131225586
1,2023,36109,98,61,46,1,5,0.01839338429272175,10.616299629211426
1,2023,36109,98,54,47,1,5,1.4442702531814575,625.531005859375
1,2023,36109,98,54,46,1,5,162.4376678466797,97736.796875
1,2023,36109,98,54,42,1,5,110.5044937133789,98592.203125
1,2023,36109,98,53,47,1,5,9.84570026397705,4866.68994140625
1,2023,36109,98,53,46,1,5,17.635326385498047,11693.7001953125
1,2023,36109,98,53,42,1,5,57.17412567138672,50818.30078125
1,2023,36109,98,53,41,1,5,63.12396240234375,62922.5
1,2023,36109,98,52,47,1,5,153.29953002929688,67224.296875
1,2023,36109,98,52,46,1,5,272.4648742675781,161829
1,2023,36109,98,52,42,1,5,869.17132568359375,712152
1,2023,36109,98,52,41,1,5,947.8465576171875,887415
1,2023,36109,98,51,47,1,5,0.010167188942432404,5.261250019073486
1,2023,36109,98,51,46,1,5,0.0712895542383194,37.75170135498047
1,2023,36109,98,51,42,1,5,0.37859100103378296,301.26800537109375
1,2023,36109,98,51,41,1,5,0.011544505134224892,9.74468994140625
1,2023,36109,98,43,47,1,5,0.04336977005004883,26.06100082397461
1,2023,36109,98,43,46,1,5,2.7190380096435547,1699.5400390625
1,2023,36109,98,43,42,1,5,5.622283458709717,3813.27001953125
1,2023,36109,98,43,41,1,5,0.005997079890221357,6.1145100593566895
1,2023,36109,98,42,47,1,5,0.012464934960007668,6.6929402351379395
1,2023,36109,98,42,46,1,5,0.058956895023584366,35.62919998168945
1,2023,36109,98,42,42,1,5,75.28057861328125,42057.6015625
1,2023,36109,98,41,47,1,5,0.04203090816736221,22.60610008239746
1,2023,36109,98,41,46,1,5,0.18515080213546753,109.677001953125
1,2023,36109,98,41,42,1,5,211.66799926757813,121930
